,date,gateway,chain,relays,relays_norm
358,2022-07-01,eu-west-1,0049,182541,0.004366014682061085
357,2022-07-01,eu-south-1,0049,667367,0.015962080411102492
356,2022-07-01,eu-north-1,0049,783335,0.01873580242779606
355,2022-07-01,eu-central-1,0049,3490386,0.08348303406938969
354,2022-07-01,ca-central-1,0049,354388,0.00847625032812499
353,2022-07-01,ap-southeast-1,0049,9685875,0.2316667075265744
352,2022-07-01,ap-northeast-2,0049,116643,0.002789866663158694
351,2022-07-01,ap-east-1,0049,1818213,0.043488009012300426
350,2022-07-01,us-west-2,0004,42359,0.0007774118284790808
361,2022-07-01,us-east-1,0049,6910310,0.16528075839177794
348,2022-07-01,us-east-1,0004,2125029,0.039000511826555694
347,2022-07-01,eu-west-3,0004,1623700,0.029799654994251128
346,2022-07-01,eu-west-2,0004,4995948,0.09169029178371554
345,2022-07-01,eu-west-1,0004,645632,0.011849239917009511
344,2022-07-01,eu-south-1,0004,1284596,0.023576102486293663
343,2022-07-01,eu-north-1,0004,6720287,0.12333696745849045
342,2022-07-01,eu-central-1,0004,17524176,0.32162000299226196
341,2022-07-01,ca-central-1,0004,141595,0.0025986833460066444
340,2022-07-01,ap-southeast-1,0004,8258357,0.1515650609221893
339,2022-07-01,ap-northeast-2,0004,766095,0.014060089113026308
349,2022-07-01,us-east-2,0004,406878,0.007467404092351365
493,2022-07-02,us-west-2,0027,309176,0.0024189848467862166
484,2022-07-02,ca-central-1,0027,143203,0.0011204164845082625
485,2022-07-02,eu-central-1,0027,2991182,0.0234029288559904
486,2022-07-02,eu-north-1,0027,265320,0.00207585666270771
487,2022-07-02,eu-south-1,0027,240573,0.0018822367892265262
492,2022-07-02,us-east-2,0027,4355518,0.03407745763547173
489,2022-07-02,eu-west-2,0027,547822,0.0042861448389788295
490,2022-07-02,eu-west-3,0027,2260724,0.01768784478344348
491,2022-07-02,us-east-1,0027,1947630,0.01523820560828214
483,2022-07-02,ap-southeast-1,0027,74506052,0.5829333802813474
488,2022-07-02,eu-west-1,0027,5011,3.920593146701468e-05
482,2022-07-02,ap-northeast-2,0027,14851,0.00011619383121465475
476,2022-07-02,eu-west-2,0021,1469276,0.021877460100492338
480,2022-07-02,us-west-2,0021,1331514,0.01982618950302527
479,2022-07-02,us-east-2,0021,3348274,0.04985566417780994
478,2022-07-02,us-east-1,0021,7281664,0.10842368188494975
477,2022-07-02,eu-west-3,0021,801751,0.011938039900624411
475,2022-07-02,eu-west-1,0021,198727,0.0029590369769808673
